OBJECTNUMMER;Soort;Prijs_per_gebruik;Dagen_geopend;Openingstijden;Omschrijving;Foto;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
102;"Openbaar toilet, rolstoeltoegankelijk";0;"ma - di - wo - do - vr";"Alle werkdagen geopend van 08.00 - 18.00 uur en op donderdagen tot 20.00 uur.";"Stadsloket";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/stadsloket-langer-open-1-300x194.jpg";"TOEGANG";"POINT(4.9308932 52.356721)";"POINT(52.356721 4.9308932)";4.9308932;52.356721
103;"Openbaar toilet, rolstoeltoegankelijk";0;"ma - di - wo - do - vr";"Alle werkdagen geopend van 08.00 - 18.00 uur en op donderdagen tot 20.00 uur.";"Stadsloket";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/28878-170307-stadsloket-stadsdeel-zuid_an-0002.jpg";"TOEGANG";"POINT(4.8938577 52.3404557)";"POINT(52.3404557 4.8938577)";4.8938577;52.3404557
104;"Openbaar toilet, rolstoeltoegankelijk";0;"ma - di - wo - do - vr";"Alle werkdagen geopend van 08.00 - 18.00 uur en op donderdagen tot 20.00 uur.";"Stadsloket";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/24882-stadsloket_west_01_23aug2016_e_v_eis.jpg";"TOEGANG";"POINT(4.8451906 52.3781623)";"POINT(52.3781623 4.8451906)";4.8451906;52.3781623
105;"Openbaar toilet, rolstoeltoegankelijk";0;"ma - di - wo - do - vr";"Alle werkdagen geopend van 08.00 - 18.00 uur en op donderdagen tot 20.00 uur.";"Stadsloket";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/2048x1152.jpg";"TOEGANG";"POINT(4.8066164 52.3577408)";"POINT(52.3577408 4.8066164)";4.8066164;52.3577408
106;"Openbaar toilet, rolstoeltoegankelijk";0;"";"Alle werkdagen geopend van 08.00 - 18.00 uur en op donderdagen tot 20.00 uur.";"Stadskantoor";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/24813-10_stadsloket-zo_16aug2016_e_v_eis1.jpg";"TOEGANG";"POINT(4.9565068 52.3161816)";"POINT(52.3161816 4.9565068)";4.9565068;52.3161816
107;"Openbaar toilet";0;"do - vr - za";"Beschikbaar op uitgaansavonden in de avond/nacht.";"";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/PaleisstraatAchterkantDAm.jpg";"OPENBAAR";"POINT(4.8908454 52.3727418)";"POINT(52.3727418 4.8908454)";4.8908454;52.3727418
108;"Openbaar toilet";0;"";"openingstijden van de kinderboerderij gesloten van november - januari februari - maart: 10 -17 uur april - oktober: 10 -18 uur alle dagen open tijdens de schoolvakanties";"";"";"OPENBAAR";"POINT(4.8953037 52.3332921)";"POINT(52.3332921 4.8953037)";4.8953037;52.3332921
109;"Openbaar toilet";0;"";"";"";"";"OPENBAAR";"POINT(4.8933753 52.3295026)";"POINT(52.3295026 4.8933753)";4.8933753;52.3295026
160;"Openbaar toilet";0;"";"8.00 uur tot een half uur vóór zonsondergang. ";"MV toiletgebouw";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/Amstelpark.JPG";"OPENBAAR";"POINT(4.8920712 52.3324386)";"POINT(52.3324386 4.8920712)";4.8920712;52.3324386
162;"Overig urinoir";0;"do - vr - za - zo";"alleen tijdens nachtelijke uren";"Green Pee, urinor met groene uitstraling met planten.";"";"OVERIG";"POINT(4.8949128 52.3659589)";"POINT(52.3659589 4.8949128)";4.8949128;52.3659589
163;"Overig urinoir";0;"do - vr - za - zo";"alleen tijdens de nachtelijke uren";"Green Pee, urinor met groene uitstraling met planten.";"";"OVERIG";"POINT(4.8948618 52.366031)";"POINT(52.366031 4.8948618)";4.8948618;52.366031
168;"Amsterdamse krul";0;"ma - di - wo - do - vr - za - zo";"";"";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/Plaskrul Gaapserpark.jpg";"KRUL";"POINT(4.9850582 52.3106669)";"POINT(52.3106669 4.9850582)";4.9850582;52.3106669
179;"Openbaar toilet, rolstoeltoegankelijk";0;"ma - di - wo - do - vr - za - zo";"Maandag t/m vrijdag: 9.00 - 17.00 uur. Zaterdag en zondag: 12.00 - 17.00 uur.";"Stadsarchief de Bazel";"";"TOEGANG";"POINT(4.8922447 52.3645638)";"POINT(52.3645638 4.8922447)";4.8922447;52.3645638
180;"Openbaar toilet, rolstoeltoegankelijk";0;"ma - di - wo - do - vr";"Maandag t/m donderdag 9.00 - 18.00 uur. Vrijdag 9.00 - 18.00 uur.";"GGD Amsterdam";"";"TOEGANG";"POINT(4.9085149 52.3624329)";"POINT(52.3624329 4.9085149)";4.9085149;52.3624329
182;"Openbaar toilet";0;"ma - di - wo - do - vr - za - zo";"Alleen open als pierenbadje ook open is als het boven de 20 graden is en van mei tot en met september.  Meer informatie: https://www.amsterdam.nl/sport/zwemmen/openbare/";"";"";"OPENBAAR";"POINT(4.9212382 52.3614494)";"POINT(52.3614494 4.9212382)";4.9212382;52.3614494
222;"Openbaar toilet";0;"";"Alleen open als pierenbadje ook open is als het boven de 20 graden is en van mei tot en met september.";"";"";"OPENBAAR";"POINT(4.8537102 52.383266)";"POINT(52.383266 4.8537102)";4.8537102;52.383266
223;"Openbaar toilet";0;"";"Alleen open als pierenbadje ook open is als het boven de 20 graden is en van mei tot en met september.";"";"";"OPENBAAR";"POINT(4.8858894 52.4139971)";"POINT(52.4139971 4.8858894)";4.8858894;52.4139971
224;"Openbaar toilet";0;"";"Alleen open als pierenbadje ook open is als het boven de 20 graden is en van mei tot en met september.";"";"";"OPENBAAR";"POINT(4.8095235 52.3825225)";"POINT(52.3825225 4.8095235)";4.8095235;52.3825225
225;"Openbaar toilet";0;"";"Alleen open als pierenbadje ook open is als het boven de 20 graden is en van mei tot en met september.";"";"";"OPENBAAR";"POINT(4.8176883 52.3551135)";"POINT(52.3551135 4.8176883)";4.8176883;52.3551135
226;"Openbaar toilet, rolstoeltoegankelijk";0;"";"De Boswinkel is geopend op woensdag t/m zondag van 10.00 - 17.00 uur.";"";"";"TOEGANG";"POINT(4.8549056 52.3274059)";"POINT(52.3274059 4.8549056)";4.8549056;52.3274059
227;"Openbaar toilet, rolstoeltoegankelijk";0;"";"";"Het Klein Kinderbad is vanaf mei tot en met september van 10:00 tot 19:00 uur gevuld met water bij een buitentemperatuur van boven de 20 graden en bij droog weer. Als het bad is gevuld zijn de toiletten ook open.";"";"TOEGANG";"POINT(4.8485826 52.3243402)";"POINT(52.3243402 4.8485826)";4.8485826;52.3243402
228;"Openbaar toilet, rolstoeltoegankelijk";0;"";"";"Het Groot Kinderbad is vanaf mei tot en met september van 10:00 tot 19:00 uur gevuld met water bij een buitentemperatuur van boven de 20 graden en bij droog weer. Als het bad is gevuld zijn de toiletten ook open.";"";"TOEGANG";"POINT(4.8221432 52.3166175)";"POINT(52.3166175 4.8221432)";4.8221432;52.3166175
229;"Openbaar toilet";0;"";"Openingstijden zijn van 10.00 - 17.00 uur.";"Dit toilet is open van 15 maart tot 1 november: van 15 maart tot 1 mei alleen in de weekenden. van 1 mei tot 1 november de hele week. ";"";"OPENBAAR";"POINT(4.8262613 52.3213381)";"POINT(52.3213381 4.8262613)";4.8262613;52.3213381
231;"Openbaar toilet";0;"";"De openingstijden zijn van 10.00 - 17.00 uur.";"Dit toilet is open van 15 maart tot 1 november: van 15 maart tot 1 mei alleen in de weekenden. van 1 mei tot 1 november de hele week. ";"";"OPENBAAR";"POINT(4.8166496 52.3061697)";"POINT(52.3061697 4.8166496)";4.8166496;52.3061697
232;"Openbaar toilet, rolstoeltoegankelijk";0;"";"24 uur per dag";"";"";"TOEGANG";"POINT(4.8383892 52.3895766)";"POINT(52.3895766 4.8383892)";4.8383892;52.3895766
243;"Verzinkbaar urinoir";0;"";"Donderdag tot en met zondag van 18.00 - 7.00 uur.  Tussen 15.30 - 18.00 uur verplaatsing naar bovengronds. tussen 7.00 - 9.00 uur verplaatsing naar ondergronds.";"Urilift";"";"URILIFT";"POINT(4.8897202 52.3686674)";"POINT(52.3686674 4.8897202)";4.8897202;52.3686674
245;"Openbaar toilet";0;"";"Open bij mooi weer van 9.00 uur - 17.00 uur.";"Toilet bij kiosk. Zie voor meer info http://www.de-parkwachter.nl/";"";"OPENBAAR";"POINT(4.8753739 52.3877248)";"POINT(52.3877248 4.8753739)";4.8753739;52.3877248
246;"Openbaar toilet, rolstoeltoegankelijk";0.5;"";"Donderdag tot en met zondag van 18.00 - 7.00 uur.  Tussen 15.30 - 18.00 uur verplaatsing naar bovengronds. tussen 07.00 - 09.00 uur verplaatsing naar ondergronds.";"Rolstoeltoegankelijk zelfreinigend toilet";"";"TOEGANG";"POINT(4.8970089 52.3661463)";"POINT(52.3661463 4.8970089)";4.8970089;52.3661463
247;"Toilet in parkeergarage";0;"";"7 dagen per week, 24 uur per dag";"Rokin 67, Parkeergarage (alleen voor parkeerders)";"";"PARKEER";"POINT(4.8932225 52.3711681)";"POINT(52.3711681 4.8932225)";4.8932225;52.3711681
248;"Openbaar toilet";0;"";"24 uur per dag geopend";"";"";"OPENBAAR";"POINT(4.9663353 52.3733558)";"POINT(52.3733558 4.9663353)";4.9663353;52.3733558
249;"Overig urinoir";0;"";"24 uur per dag geopend";"";"";"OVERIG";"POINT(4.9663138 52.3732281)";"POINT(52.3732281 4.9663138)";4.9663138;52.3732281
256;"Openbaar toilet";0;"";"";"";"";"OPENBAAR";"POINT(4.8741075 52.3595001)";"POINT(52.3595001 4.8741075)";4.8741075;52.3595001
258;"Openbaar toilet, rolstoeltoegankelijk";0;"";"Alle werkdagen geopend van 08.00 - 18.00 uur en op donderdagen tot 20.00 uur.";"Stadskantoor";"";"TOEGANG";"POINT(5.0423941 52.3067169)";"POINT(52.3067169 5.0423941)";5.0423941;52.3067169
260;"Verzinkbaar urinoir";0;"";"Donderdag tot en met zondag van 18.00 - 7.00 uur.  Tussen 15.30 - 18.00 uur verplaatsing naar bovengronds. tussen 07.00 - 09.00 uur verplaatsing naar ondergronds.";"Urilift";"";"URILIFT";"POINT(4.8831523 52.3641961)";"POINT(52.3641961 4.8831523)";4.8831523;52.3641961
261;"Openbaar toilet, rolstoeltoegankelijk";0;"ma - di - wo - do - vr - za - zo";"1 april tot 1 oktober 08.00 – 22.00 uur 1 oktober tot 1 april: 08.00 – 20.00 uur";"";"";"TOEGANG";"POINT(4.9196013 52.3605006)";"POINT(52.3605006 4.9196013)";4.9196013;52.3605006

