X,Y,objectid,Omschrijving,Soort,Adres,esrignss_latitude,esrignss_longitude,esrignss_altitude,GlobalID,CreationDate,EditDate,Openbaar,zelfreinigend,Rolstoel_toegankelijk,Alleen_mannen,Openingstijden,Verschoontafel
4.31108177642078,52.078939157979,"1",Toilet Buitenhof,Openbaar,,,,,{E1A1BD9A-86E0-4BA5-A4E6-A5B17AA384F7},,,,ja,ja,nee,24/7,nee
4.31926680967038,52.07333521207,"4",Toilet Huijgenspark,Openbaar,Huijgenspark,,,,{8494FAE1-A129-4E09-8463-C54A23268019},,,,ja,ja,nee,24/7,nee
4.26586552226635,52.0567517573484,"5",Leyweg Busplatform,Openbaar,Leyweg,,,,{2DEC16C4-9CAE-4E34-B40D-01FC2F4E7A3F},,,,ja,ja,nee,24/7,nee
4.28857778097772,52.1170040513727,"6",Zwarte Pad einde tramlijn 9,Openbaar,Zwarte Pad,,,,{F9B1331C-39ED-48D0-A675-E2FEDD485971},,,,ja,ja,nee,24/7,nee
4.27093363962214,52.1067422957382,"7",Zeeruststraat Einde tramlijn 11,Openbaar,,,,,{B1C76B54-9F97-428D-BF2A-F716EB58ABD8},,,,,,,,
4.30794469613065,52.0760188195499,"8",Toilet Laan,Openbaar,Laan 5-9,,,,{3E0B3D5F-C570-49CD-AC8E-24AB22E7B20D},,,,ja,ja,nee,24/7,nee
4.28069870691162,52.0583783424055,"9",Openbaar Toilet Zuiderpark,Openbaar,Anna Polakweg,,,,{9F112216-32D7-4753-BCB2-B73E60D32E9B},,,,ja,ja,nee,24/7,nee
4.3175477922494,52.0782086972373,"10",Toilet Stadhuis Spui,Opengesteld,Spui 70,,,,{4AD1A7BE-7955-4F32-AA23-46137D5371BC},,,,nee,ja,nee,,nee
4.3161148075783,52.0774366448028,"11",Centrale Bibliotheek Den Haag,Opengesteld,Spui,,,,{307D1530-18D4-4058-96A1-84E8048B9567},,,,nee,ja,nee,Maandag t/m zondag 10.00-17.00,ja
4.2833612110914,52.1148315727498,"12",Toilet Palace promenade,Openbaar,,,,,{26ABD20D-A705-4C4A-91B3-A389BBACDBA4},,,ja,nee,nee,nee,maandag t/m zondag 10.00-18.00,nee
4.28924549257911,52.0562236847849,"13",Toilet Sportcampus zuiderpark,Opengesteld,Mr. P. Droogleever Fortuynweg,,,,{F01CEE27-842E-48C8-99A2-62025407F88B},,,,nee,ja,nee,maandag t/m zondag 8.00- 23.00,ja
4.2804247732452,52.0449131966969,"14",Stadsdeelkantoor Leyweg,Opengesteld,Leyweg 813,,,,{9C26A682-163C-40C0-B2B3-DF8279B2F535},,,,nee,ja,nee,maandag t/m vrijdag 8.30- 16.30,nee
4.32415643215492,52.081400831512,"15",Station Den Haag Centraal,Openbaar,Station CS,,,,{8917D37A-E862-403D-8353-F9A42C5B13B7},,,ja,nee,ja,nee,maandag t/m zondag 7.00 - 21.00,nee
4.32203106199185,52.0699595589923,"16",Station Den Haag Hollands Spoor,Openbaar,Hollands Spoor,,,,{A1AC4646-E5AF-44E5-A68B-881CA0D781CB},,,Sanifair,nee,nee,nee,maandag t/m zondag 7.00- 21.00,nee
4.34300793649098,52.0792263407941,"17",Station Laan van NOI,Openbaar,Anna van Hannoverstraat,,,,{BD47ED26-DF09-4F2A-AAC9-B013326AD2DC},,,,nee,nee,nee,24/7,nee
4.368897404569,52.0906403098703,"18",Station Mariahoeve,Openbaar,Station Mariahoeve,,,,{27CD5B12-EA3F-4F5A-B681-2FDF756BD65F},,,,nee,nee,nee,24/7,nee
4.27483974334774,52.0728471051505,"19",Stadsdeelkantoor Segbroek,Opengesteld,Fahrenheitstraat 190,,,,{D5B4B97D-908E-44CA-BBBA-059FA0BA83A1},,,,nee,nee,nee,maandag t/m vrijdag 8.30-16.30,nee
4.26268744654236,52.1012875647953,"20",Biesieklette Strandweg Haven,Opengesteld,Strandweg 10,,,,{23EA8435-917C-43AF-8BCE-AF198820A541},,,,nee,ja,nee,maandag t/m zondag 9.00- 23.00,ja
