OBJECTID;MIVA_toilet;Entree;Gebruik;Status;Ma;Ma_van;Ma_tot;Di;Di_van;Di_tot;Wo;Wo_van;Wo_tot;Do;Do_van;Do_tot;Vr;Vr_van;Vr_tot;Za;Za_van;Za_tot;Zo;Zo_van;Zo_tot;Kosten;Beoordeling;Eigenaar;Opmerking;Beugels;Grote_prullenbak;Wastafel;Baby_verschoontafel;GlobalID;X;Y;LONG;LAT
40;;Drempelvrij;Ruim;In onderhoud;Ja;6:00;2:00;Ja;6:00;2:00;Ja;6:00;2:00;Ja;6:00;2:00;Ja;6:00;2:00;Ja;6:00;4:00;Ja;6:00;2:00;;Goed;Mc Donalds;;Ja;Ja;Ja;Ja;a93ad357-75d6-4be3-847f-5e14e655490e;82855.34245255697;450356.29554680316;4.335744789890784;52.03683738319788
41;;;;;Ja;9:00;19:00;Ja;9:00;19:00;Ja;9:00;19:00;Ja;9:00;19:00;Ja;9:00;21:00;Ja;9:00;19:00;Ja;12:00;18:00;;;Oriental Ypenburg;;;;;;6873ba75-3932-4e77-95f2-4787095ff6f6;84236.5036855262;450487.4060438401;4.3558439253577115;52.038193645247496
42;Ja;Drempel;Gemiddeld;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,00;;De Parade Nootdorp;;Ja;Ja;Ja;Ja;b83d83f5-5dac-4a7b-8d4f-28dc3754d631;86648.5350135996;451153.35270719655;4.39086017555255;52.04448107064885
43;;;;;Nee;;;Ja;12:00;22:00;Ja;12:00;22:00;Ja;12:00;22:00;Ja;12:00;22:00;Ja;12:00;22:00;Ja;12:00;22:00;;;New China Dragon;;;;;;d0efff45-792e-4cbd-aa32-fb9a121c1589;86933.60855615836;451019.1186959264;4.395041742460767;52.04330977507505
44;;;;;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;;;vd Valk Nootdorp;;;;;;6bdbf3f6-01b7-4947-a25c-8b49ec3916d4;87394.01136682673;452024.7601563792;4.401552807552754;52.05240383849435
45;Ja;Drempelvrij;Gemiddeld;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,50;Goed;Gemeente Den Haag;Openbaar Toilet;Ja;Ja;Ja;Ja;b5d4ce44-3617-4b52-ac26-878f5b04392c;78506.82324474434;458202.3656573815;4.270620753040332;52.106764596376436
46;;1 trede;Krap;In onderhoud;;;;;;;;;;;;;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,00;;Voetbalvereniging SVLY;;Ja;Ja;Ja;Ja;398f71b0-e956-4c56-a0a9-dc7d4d93eb2b;87637.64721713986;452257.4751273341;4.405058457069407;52.05452491658669
47;;;;;Nee;;;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;;;De Smulhoeve;;Ja;Ja;Ja;Ja;23d8a996-56fe-4697-a9f1-d8b4956fe5e9;87208.02486699686;453068.16809262795;4.398634560802063;52.061758248427665
48;;;;In onderhoud;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;€ 0,00;;Stadsboerderij De Balijhoeve;;;;;;40d4f490-4a4f-48a1-ba17-1823d6a071e6;91257.81470871491;451121.4405095269;4.458045497901498;52.04474337817654
49;;;;In onderhoud;Ja;8:00;20:00;Ja;08:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;21:00;Ja;8:00;20:00;Ja;10:00;18:00;€ 0,00;;Albert Heijn;;;;;;6a483c39-7f67-48fa-87b0-ef43ec835a34;92550.09348603775;450947.9438039364;4.476912156567089;52.04333122953178
50;;;;In onderhoud;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;21:00;Ja;8:00;20:00;Ja;9:00;19:00;€ 0,00;;JUMBO;;;;;;76d54954-dbb8-4183-ae32-c791f7d19e7e;92579.80097615003;450968.8650205753;4.4773413096322034;52.04352259817591
51;;Drempelvrij;Gemiddeld;In onderhoud;Ja;10:00;19:00;Ja;10:00;19:00;Ja;10:00;19:00;Ja;10:00;19:00;Ja;10:00;19:00;Ja;10:00;18:00;Ja;12:00;19:00;"€ 0,00 voor klanten; € 0,50 voor anderen";;Subway;;Nee;Ja;Ja;Nee;03a664c1-419f-438d-8d73-18b90d94c379;92548.53878586213;451000.09557334846;4.476879969875729;52.043799751453705
52;Nee;Drempel;Ruim;In onderhoud;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;9:00;21:00;Ja;9:00;19:00;geen;Voldoende;Jumbo;Het toilet is ruim, maar de weg naar het toilet is minder goed.;Nee;Ja;Ja;Nee;474aa0c7-0b75-4d8e-9331-7ed4c8cdf5f2;93764.70893279676;450558.3786601872;4.494684469980779;52.039965640273635
53;Ja;Drempelvrij;Ruim;In onderhoud;Ja;08.00;01.00;Ja;08.00;01.00;Ja;08.00;01.00;Ja;08.00;01.00;Ja;08.00;01.00;Ja;08.00;01.00;Ja;08.00;01.00;€ 0,00;;2Bhome;Locatie prullenbak, een kant ruimte voor rolstoel, te korte handel van kraan, zalen drempelvrees toegankelijk;Ja;Ja;Ja;Ja;1d11fbfa-51bc-4929-924e-18f8f7b76506;93309.74889772403;451685.76816932;4.487850654842937;52.050047262091304
54;Ja;Drempelvrij;Ruim;In onderhoud;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;;;2B home;gewenst om voorportaal tijdelijk af te kunnen;Ja;Ja;Ja;Ja;992f47bb-9147-468b-b60a-e6084a1a7cf5;93307.57980048415;451688.91517217905;4.487818468344881;52.050075303355335
55;;;;In onderhoud;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;10:00;19:00;;;Jumbo;;;;;;f03bdd5e-4927-47fa-b2fe-a9e0db4eef2a;92001.81366959338;452317.13743263186;4.468668845767349;52.055574348932566
56;;;;In onderhoud;Ja;8:00;20:00;Ja;08:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;21:00;Ja;8:00;20:00;Ja;10:00;19:00;€ 0,00;;Albert Heijn;;;;;;a3483651-436e-418e-bc99-03785531d531;92034.03548673227;452420.96568275365;4.469119457257866;52.05651113130826
57;;;;;Nee;;;Ja;10:00;17:30;Ja;10:00;17:30;Ja;10:00;17:30;Ja;10:00;17:30;Ja;10:00;17:00;Ja;10:00;17:00;€ 0,00;;Stadsboerderij het Buitenbeest;;;;;;5378460f-542c-4cae-a646-fa1729de045e;92601.7226418123;452855.69647604524;4.477316279387497;52.06048234037936
58;Nee;;Krap;In onderhoud;Ja;5:00;24:00;Ja;5:00;24:00;Ja;5:00;24:00;Ja;5:00;24:00;Ja;5:00;01:00;Ja;6:30;01:00;Ja;8:00;24:00;€ 0,00;;Centrum West ( Ustal);;Nee;Nee;Ja;Ja;a56171ed-902a-45c3-b944-726ae9589f72;93032.01494369496;452885.5541841956;4.483584598653673;52.060798966734
59;;Drempelvrij;Ruim;In onderhoud;Ja;10:00;18:00;Ja;10:00;18:00;Ja;10:00;18:00;Ja;10:00;18:00;Ja;10:00;21:00;Ja;10:00;17:30;Ja;12:00;17:00;€ 0,00;;2 the loo;Boven de Albert Heijn;Ja;Ja;Ja;Ja;091d4e5c-202b-44f9-8826-f6c3a98819b3;93259.31116807857;452908.78671857796;4.486894444189225;52.06103313591129
60;Ja;Drempelvrij;Ruim;In onderhoud;Ja;10:30;18:30;Ja;08:30;18:30;Ja;08:30;18:30;Ja;08:30;18:30;Ja;08:30;21:30;Ja;08:30;18:00;Ja;11:30;17:30;€ 0,00 voor invaliden, € 0,50 voor anderen;Goed;Ustal;;Ja;Ja;Ja;Ja;fa659908-83e1-4713-a401-a12b5f13deb0;93527.04730561355;453123.4584403209;4.490759507683883;52.062992200133884
61;Nee;;;In onderhoud;Nee;;;Nee;;;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;21:00;Ja;10:00;17:00;Ja;12:00;17:00;€ 0,00;;Nationaal Videogamemuseum;;;;;;86762297-b1cd-4a38-b08e-d30e1ca9286f;93697.05620333357;453014.38988706324;4.493257984478958;52.06203081690496
62;Ja;Drempelvrij;Ruim;In onderhoud;Ja;09:00;17:00;Ja;09:00;17:00;Ja;09:00;17:00;Ja;09:00;17:00;Ja;09:00;17:00;Nee;;;Nee;;;€ 0,00;Goed;Gemeente Zoetermeer;;Ja;Ja;Ja;Ja;fbc429bd-aff8-4b68-9440-81fd01ae5ad1;93659.58544366225;452877.04975492734;4.492736295597491;52.06079236831121
63;Ja;;;In onderhoud;Ja;7:00;00:00;Ja;7:00;00:00;Ja;7:00;00:00;Ja;7:00;00:00;Ja;7:00;2:00;Ja;7:00;2:00;Ja;9:00;00:00;€ 0,00;;Fietsenstalling Cadenza ( Ustal);;Ja;Ja;Ja;Ja;8f802995-8169-41fb-a903-231be55b36ad;93844.21630787183;453006.52516212803;4.495405092568449;52.06197639779316
64;;Drempelvrij;Ruim;In onderhoud;Ja;9:00;16:00;Ja;09:00;16:00;Ja;9:00;16:00;Ja;9:00;16:00;Ja;9:00;16:00;Ja;09.00;16.00;Ja;09.00;16.00;€ 0,00;;Palet/Welzijn.nl;;Ja;Ja;Ja;Ja;73428547-515d-49ac-9c1c-e8dd3151172c;93546.4713758751;452476.21079494356;4.491159162200949;52.05717742079402
65;;Drempelvrij;Ruim;In onderhoud;Ja;08:00;23:00;Ja;08:00;23:00;Ja;08:00;23:00;Ja;08:00;23:00;Ja;08:00;23:00;Ja;08:00;18.00;Ja;13.45;23.00;€ 0,00;;CKC Centrum voor Kunst e Cultuur;;Ja;Ja;Ja;Ja;3bb9b17f-f455-4e8e-8f82-848a32747312;93987.09920841959;452491.7125415658;4.4975803689974665;52.05736542970381
66;;;Gemiddeld;In onderhoud;Ja;08:30;17:00;Ja;08:30;17:00;Ja;08:30;17:00;Ja;08:30;17:00;Ja;08:30;17:00;Nee;;;Nee;;;€ 0,00;Matig;Reakt;;Ja;Ja;Ja;Ja;5bed66fb-cfa1-40a2-b7e3-a34ba65d39c1;92648.28117286703;453562.253213516;4.477866133510018;52.06683752340765
67;;;;In onderhoud;Ja;08:00;20:00;Ja;08:00;20:00;Ja;08:00;20:00;Ja;08:00;20:00;Ja;08:00;21:00;Ja;08:00;20:00;Ja;10:00;19:00;€ 0,00;;Jumbo;;Ja;Ja;;;a57024a9-7431-4e69-b33c-981c85627893;92688.4970336773;453571.65707014437;4.478450854652475;52.066926562013215
68;;;;In onderhoud;Ja;8:00;20:00;Ja;08:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;21:00;Ja;8:00;20:00;Ja;10:00;19:00;€ 0,00;;Albert Heijn;;Ja;Ja;Ja;Ja;8dfb2958-7916-4397-b98b-14d978c99ce4;93725.20719377065;453904.4322536433;4.493508769629373;52.07003290884005
69;;;;In onderhoud;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;20:00;Ja;10:00;18:00;€ 0,00;;Jumbo;;Ja;Ja;Ja;Ja;4c5a8810-0d29-4582-a467-8dc475d0124a;94864.74485070352;453824.4933376319;4.510141145606933;52.06943935617331
70;;;;In onderhoud;Ja;8:00;20:00;Ja;08:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;21:00;Ja;8:00;20:00;Ja;10:00;19:00;€ 0,00;;Albert Heijn;;;;;;593cf6a9-58a3-440b-93bd-d237ed73b045;95538.15707600571;454492.21521894867;4.519845374237651;52.07551301199676
